﻿Emendas Parlamentares 2020;;;;;;;;;;
Autor;Emenda;Órgão;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;Pago
VALDELINO BARCELOS;12.122.6221.9068.0190 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;2.000.000,00;0;0;0;2.000.000,00;2.000.000,00;2.000.000,00;2.000.000,00
JORGE VIANNA;10.122.6202.4166.0003 - PROGRAMA DE DESCENTRALIZAÇÃO PROGRESSIVA DAS AÇÕES DE SAÚDE - PDPAS-SES 2020;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;2.000.000,00;0;2.000.000,00;2.000.000,00;2.000.000,00;2.000.000,00
IOLANDO ALMEIDA;15.451.6209.1110.8175 - INFRAESTRUTURA E URBANIZAÇÃO NAS RAS IA;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;1.000.000,00;1.000.002,00;0;0;2.000.002,00;2.000.000,00;2.000.000,00;2.000.000,00
JAQUELINE SILVA;26.782.6216.5745.0015 - EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA-VC 371- SANTA MARIA;DEPTO DE ESTRADAS E RODAGEM DO DF - DER/DF;0;2.000.000,00;0;0;2.000.000,00;2.000.000,00;2.000.000,00;2.000.000,00
VALDELINO BARCELOS;10.122.6202.4166.0010 - PLANEJAMENTO E GESTÃO DA ATENÇÃO ESPECIALIZADA-AQUISIÇÃO DE MEDICAMENTOS  - COVID-19 - SES-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;0;0;0;1.999.999,96;1.999.999,96;1.999.999,96
PROF. REGINALDO VERAS;10.303.6202.4216.0021 - AQUISIÇÃO DE MEDICAMENTOS - ASSISTÊNCIA À SAÚDE PÚBLICA;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;2.000.000,00;0;2.000.000,00;1.996.437,78;1.882.286,48;1.882.286,48
ROOSEVELT VILELA;06.181.8217.8517.0162 - MANUTENÇÃO DE SERVIÇOS ADMINISTRATIVOS GERAIS- - PMDF-DISTRITO FEDERAL;POLÍCIA MILITAR DO DISTRITO FEDERAL - PMDF;0;1.968.687,99;0;0;1.968.687,99;1.962.537,64;1.962.537,64;1.962.537,64
CLÁUDIO ABRANTES;13.392.6219.9075.0140 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS CULTURAIS - APOIO A EVENTOS NO DISTRITO FEDERAL;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;2.162.636,00;430.000,00;-400.000,00;-120.000,00;2.072.636,00;1.918.106,65;1.918.106,65;1.918.106,65
DANIEL DONIZET;12.122.6221.9068.0194 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS DO DISTRITO FEDERAL - PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;1.829.600,00;0;0;0;1.829.600,00;1.829.600,00;1.829.600,00;1.829.600,00
AGACIEL MAIA;12.122.6221.9068.0207 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS PÚBLICAS DF - PDAF - H;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;4.000.000,00;-2.185.000,00;0;0;1.815.000,00;1.815.000,00;1.815.000,00;1.815.000,00
ARLETE AVELAR SAMPAIO;25.752.6209.1836.7004 - ILUMINAÇÃO PÚBLICA NO PLANO PILOTO;ADMINISTRAÇÃO REGIONAL DO PLANO PILOTO;1.803.000,00;0;0;0;1.803.000,00;1.799.623,76;1.766.744,24;1.710.208,38
JOSÉ GOMES;12.122.6221.9068.0185 - TRANSFERÊNCIA POR MEIO DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS -  DISTRITO FEDERAL - PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;2.000.000,00;-300.000,00;0;0;1.700.000,00;1.700.000,00;1.700.000,00;1.700.000,00
EDUARDO PEDROSA;12.122.6221.9068.0184 - DESCENTRALIZÇÃO DE RECURSOS FINANCEIROS EM PROL DAS REGIONAIS DE ENSINO DO DF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;3.500.000,00;-1.817.235,00;0;-2;1.682.763,00;1.682.763,00;1.682.763,00;1.682.763,00
RODRIGO DELMASSO;15.752.6209.8507.0027 - MANUTENÇÃO DO SISTEMA DE ILUMINAÇÃO PÚBLICA-MODERNIZAÇÃO E EFICIENTIZAÇÃO DA ILUMINAÇÃO PÚBLICA- SIA;SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF;0;0;1.650.000,00;0;1.650.000,00;1.649.966,40;488.184,24;472.562,35
IOLANDO ALMEIDA;15.451.6209.1110.0338 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-INFRAESTUTURA E URBANIZAÇÃO I NAS RAS-DISTRITO FEDERAL;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;0;1.600.000,00;0;0;1.600.000,00;1.600.000,00;1.600.000,00;1.572.745,40
FERNANDO FERNANDES;15.451.6209.1110.0327 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-- CONSTRUÇÃO E REFORMA DE CALÇADAS EM CEILÂNDIA E SOL NASCENTE-DISTRITO FEDERAL;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;0;1.600.000,00;0;0;1.600.000,00;1.599.999,99;1.598.976,79;1.598.976,79
RAFAEL PRUDENTE;15.752.6209.8507.6486 - MANUTENÇÃO DO SISTEMA DE ILUMINAÇÃO PÚBLICA-MANUTENÇÃO DO SISTEMA DE ILUMINAÇÃO PÚBLICA NAS REG. ADM. DO DF-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF;1.000.000,00;514.333,00;0;0;1.514.333,00;1.514.332,08;247.418,03;239.500,62
